PeriodStart,PeriodEnd,Period,AirTemp,GtiFixedTilt,PanelTemp,PanelOutput
2019-12-31T00:00:00Z,2019-12-31T00:10:00Z,PT10M,6.0,125,9.90625,0.07971875
2019-12-31T00:10:00Z,2019-12-31T00:20:00Z,PT10M,5.9,170,11.2125,0.1286375
2019-12-31T00:20:00Z,2019-12-31T00:30:00Z,PT10M,5.8,75,8.14375,0.02443125
2019-12-31T00:30:00Z,2019-12-31T00:40:00Z,PT10M,5.7,11,6.04375,0.0
2019-12-31T00:40:00Z,2019-12-31T00:50:00Z,PT10M,5.6,0,5.6,0.0
2019-12-31T00:50:00Z,2019-12-31T01:00:00Z,PT10M,5.5,0,5.5,0.0
2019-12-31T01:00:00Z,2019-12-31T01:10:00Z,PT10M,5.4,0,5.4,0.0
2019-12-31T01:10:00Z,2019-12-31T01:20:00Z,PT10M,5.3,0,5.3,0.0
2019-12-31T01:20:00Z,2019-12-31T01:30:00Z,PT10M,5.2,0,5.2,0.0
2019-12-31T01:30:00Z,2019-12-31T01:40:00Z,PT10M,5.1,0,5.1,0.0
2019-12-31T01:40:00Z,2019-12-31T01:50:00Z,PT10M,5.0,0,5.0,0.0
2019-12-31T01:50:00Z,2019-12-31T02:00:00Z,PT10M,4.9,0,4.9,0.0
2019-12-31T02:00:00Z,2019-12-31T02:10:00Z,PT10M,4.6,0,4.6,0.0
2019-12-31T02:10:00Z,2019-12-31T02:20:00Z,PT10M,4.2,0,4.2,0.0
2019-12-31T02:20:00Z,2019-12-31T02:30:00Z,PT10M,3.7,0,3.7,0.0
2019-12-31T02:30:00Z,2019-12-31T02:40:00Z,PT10M,3.3,0,3.3,0.0
2019-12-31T02:40:00Z,2019-12-31T02:50:00Z,PT10M,2.8,0,2.8,0.0
2019-12-31T02:50:00Z,2019-12-31T03:00:00Z,PT10M,2.4,0,2.4,0.0
2019-12-31T03:00:00Z,2019-12-31T03:10:00Z,PT10M,2.2,0,2.2,0.0
2019-12-31T03:10:00Z,2019-12-31T03:20:00Z,PT10M,2.2,0,2.2,0.0
2019-12-31T03:20:00Z,2019-12-31T03:30:00Z,PT10M,2.2,0,2.2,0.0
2019-12-31T03:30:00Z,2019-12-31T03:40:00Z,PT10M,2.1,0,2.1,0.0
2019-12-31T03:40:00Z,2019-12-31T03:50:00Z,PT10M,2.1,0,2.1,0.0
2019-12-31T03:50:00Z,2019-12-31T04:00:00Z,PT10M,2.1,0,2.1,0.0
2019-12-31T04:00:00Z,2019-12-31T04:10:00Z,PT10M,2.0,0,2.0,0.0
2019-12-31T04:10:00Z,2019-12-31T04:20:00Z,PT10M,1.9,0,1.9,0.0
2019-12-31T04:20:00Z,2019-12-31T04:30:00Z,PT10M,1.8,0,1.8,0.0
2019-12-31T04:30:00Z,2019-12-31T04:40:00Z,PT10M,1.7,0,1.7,0.0
2019-12-31T04:40:00Z,2019-12-31T04:50:00Z,PT10M,1.6,0,1.6,0.0
2019-12-31T04:50:00Z,2019-12-31T05:00:00Z,PT10M,1.5,0,1.5,0.0
2019-12-31T05:00:00Z,2019-12-31T05:10:00Z,PT10M,1.4,0,1.4,0.0
2019-12-31T05:10:00Z,2019-12-31T05:20:00Z,PT10M,1.4,0,1.4,0.0
2019-12-31T05:20:00Z,2019-12-31T05:30:00Z,PT10M,1.3,0,1.3,0.0
2019-12-31T05:30:00Z,2019-12-31T05:40:00Z,PT10M,1.3,0,1.3,0.0
2019-12-31T05:40:00Z,2019-12-31T05:50:00Z,PT10M,1.3,0,1.3,0.0
2019-12-31T05:50:00Z,2019-12-31T06:00:00Z,PT10M,1.2,0,1.2,0.0
2019-12-31T06:00:00Z,2019-12-31T06:10:00Z,PT10M,1.2,0,1.2,0.0
2019-12-31T06:10:00Z,2019-12-31T06:20:00Z,PT10M,1.1,0,1.1,0.0
2019-12-31T06:20:00Z,2019-12-31T06:30:00Z,PT10M,1.1,0,1.1,0.0
2019-12-31T06:30:00Z,2019-12-31T06:40:00Z,PT10M,1.0,0,1.0,0.0
2019-12-31T06:40:00Z,2019-12-31T06:50:00Z,PT10M,1.0,0,1.0,0.0
2019-12-31T06:50:00Z,2019-12-31T07:00:00Z,PT10M,0.9,0,0.9,0.0
2019-12-31T07:00:00Z,2019-12-31T07:10:00Z,PT10M,0.9,0,0.9,0.0
2019-12-31T07:10:00Z,2019-12-31T07:20:00Z,PT10M,0.9,0,0.9,0.0
2019-12-31T07:20:00Z,2019-12-31T07:30:00Z,PT10M,0.9,0,0.9,0.0
2019-12-31T07:30:00Z,2019-12-31T07:40:00Z,PT10M,0.9,0,0.9,0.0
2019-12-31T07:40:00Z,2019-12-31T07:50:00Z,PT10M,0.9,0,0.9,0.0
2019-12-31T07:50:00Z,2019-12-31T08:00:00Z,PT10M,0.9,0,0.9,0.0
2019-12-31T08:00:00Z,2019-12-31T08:10:00Z,PT10M,0.8,0,0.8,0.0
2019-12-31T08:10:00Z,2019-12-31T08:20:00Z,PT10M,0.6,0,0.6,0.0
2019-12-31T08:20:00Z,2019-12-31T08:30:00Z,PT10M,0.3,0,0.3,0.0
2019-12-31T08:30:00Z,2019-12-31T08:40:00Z,PT10M,0.1,0,0.1,0.0
2019-12-31T08:40:00Z,2019-12-31T08:50:00Z,PT10M,-0.1,0,-0.1,0.0
2019-12-31T08:50:00Z,2019-12-31T09:00:00Z,PT10M,-0.4,0,-0.4,0.0
2019-12-31T09:00:00Z,2019-12-31T09:10:00Z,PT10M,-0.4,0,-0.4,0.0
2019-12-31T09:10:00Z,2019-12-31T09:20:00Z,PT10M,-0.2,0,-0.2,0.0
2019-12-31T09:20:00Z,2019-12-31T09:30:00Z,PT10M,0.0,0,0.0,0.0
2019-12-31T09:30:00Z,2019-12-31T09:40:00Z,PT10M,0.3,0,0.3,0.0
2019-12-31T09:40:00Z,2019-12-31T09:50:00Z,PT10M,0.5,0,0.5,0.0
2019-12-31T09:50:00Z,2019-12-31T10:00:00Z,PT10M,0.7,0,0.7,0.0
2019-12-31T10:00:00Z,2019-12-31T10:10:00Z,PT10M,0.7,0,0.7,0.0
